open_time,open,high,low,close,volume
1691258400000,1833.74,1834.99,1833.07,1834.98,8045.225
1691259300000,1834.98,1837.77,1834.98,1836.59,20119.348
1691260200000,1836.59,1836.62,1835.24,1835.94,8007.054
1691261100000,1835.95,1838.62,1835.04,1836.66,13381.097
1691262000000,1836.66,1837.97,1836.15,1836.82,5867.273
1691262900000,1836.82,1837.20,1835.52,1836.77,6274.303
1691263800000,1836.77,1836.77,1834.65,1836.24,5891.731
1691264700000,1836.23,1836.24,1834.75,1834.76,4228.308
1691265600000,1834.75,1834.98,1834.23,1834.65,3934.889
1691266500000,1834.64,1834.96,1834.32,1834.52,2687.649
1691267400000,1834.52,1834.52,1833.32,1833.58,3685.313
1691268300000,1833.58,1834.45,1833.48,1833.65,6003.762
1691269200000,1833.65,1834.53,1833.47,1834.52,4176.576
1691270100000,1834.52,1835.76,1834.52,1835.34,5032.455
1691271000000,1835.34,1835.92,1834.97,1835.40,3484.486
1691271900000,1835.40,1835.40,1834.49,1834.49,2219.725
1691272800000,1834.50,1834.96,1833.69,1833.70,7620.419
1691273700000,1833.70,1834.37,1833.66,1834.36,2843.810
1691274600000,1834.37,1836.09,1834.33,1835.88,4256.195
1691275500000,1835.88,1837.87,1835.88,1837.62,7245.293
1691276400000,1837.62,1837.78,1837.18,1837.20,4704.598
1691277300000,1837.21,1837.41,1836.30,1837.13,3794.499
1691278200000,1837.12,1837.13,1835.88,1835.88,3355.237
1691279100000,1835.88,1836.48,1835.49,1835.50,2624.020
1691280000000,1835.50,1835.72,1834.72,1835.48,8254.622
1691280900000,1835.48,1836.46,1835.24,1836.45,4342.328
1691281800000,1836.44,1836.94,1834.97,1835.68,5394.417
1691282700000,1835.69,1836.68,1835.68,1835.94,3798.203
1691283600000,1835.94,1836.66,1835.31,1835.33,3681.033
1691284500000,1835.33,1835.90,1834.63,1834.64,2852.165
1691285400000,1834.64,1835.16,1834.60,1835.00,2259.943
1691286300000,1835.00,1835.53,1832.63,1832.64,7725.328
1691287200000,1832.63,1835.75,1832.46,1834.87,15343.741
1691288100000,1834.87,1838.60,1834.87,1837.49,13795.475
1691289000000,1837.49,1837.66,1835.77,1835.92,5661.067
1691289900000,1835.92,1836.04,1835.37,1835.54,2391.766
1691290800000,1835.54,1835.81,1834.30,1834.30,5354.126
1691291700000,1834.30,1834.95,1834.09,1834.59,3500.779
1691292600000,1834.59,1834.59,1833.01,1833.66,7375.735
1691293500000,1833.65,1834.28,1833.10,1834.13,3824.106
1691294400000,1834.13,1834.65,1834.04,1834.38,3365.961
1691295300000,1834.38,1834.72,1834.18,1834.54,3179.620
1691296200000,1834.55,1835.00,1834.44,1834.86,3442.678
1691297100000,1834.87,1835.23,1834.86,1835.16,2492.462
1691298000000,1835.16,1835.59,1835.16,1835.35,2340.478
1691298900000,1835.35,1835.68,1835.19,1835.20,2198.050
1691299800000,1835.19,1835.20,1834.51,1834.85,3353.406
1691300700000,1834.85,1835.66,1834.68,1835.66,2337.099
1691301600000,1835.65,1836.05,1833.89,1833.90,5089.733
1691302500000,1833.90,1833.90,1832.94,1833.18,5840.502
1691303400000,1833.17,1833.39,1831.25,1832.37,11000.126
1691304300000,1832.38,1833.70,1832.33,1833.69,4374.664
1691305200000,1833.69,1833.74,1833.11,1833.11,3873.120
1691306100000,1833.12,1833.36,1832.91,1833.36,2638.482
1691307000000,1833.36,1833.60,1832.79,1833.59,2882.426
1691307900000,1833.59,1834.40,1833.59,1834.13,4782.292
1691308800000,1834.13,1834.36,1833.05,1833.24,6051.466
1691309700000,1833.24,1835.69,1833.06,1835.23,7994.159
1691310600000,1835.23,1835.40,1833.78,1835.16,6837.727
1691311500000,1835.17,1837.37,1834.64,1834.64,12961.197
1691312400000,1834.65,1834.68,1829.99,1831.30,32449.339
1691313300000,1831.30,1831.68,1829.03,1829.79,32473.281
1691314200000,1829.79,1830.80,1829.58,1830.75,10473.006
1691315100000,1830.75,1831.04,1830.00,1830.54,5925.955
1691316000000,1830.54,1830.55,1829.76,1829.77,4719.907
1691316900000,1829.76,1830.40,1829.63,1830.12,5128.872
1691317800000,1830.12,1830.12,1827.30,1828.86,19611.601
1691318700000,1828.86,1830.30,1828.36,1830.05,8763.214
1691319600000,1830.05,1831.53,1830.05,1831.53,7798.664
1691320500000,1831.52,1831.82,1831.22,1831.69,4805.980
1691321400000,1831.68,1832.28,1831.68,1832.01,3458.858
1691322300000,1832.00,1832.49,1831.57,1831.57,7017.208
1691323200000,1831.57,1832.09,1831.40,1832.09,3916.982
1691324100000,1832.09,1832.20,1829.81,1830.33,8889.935
1691325000000,1830.34,1830.35,1828.10,1829.26,9365.282
1691325900000,1829.27,1830.03,1827.63,1828.36,11733.360
1691326800000,1828.36,1828.68,1827.88,1828.16,6744.600
1691327700000,1828.17,1830.00,1827.24,1827.34,12503.255
1691328600000,1827.34,1828.51,1827.24,1828.50,8478.859
1691329500000,1828.50,1829.75,1828.21,1828.53,7510.623
1691330400000,1828.52,1828.63,1825.00,1825.80,18218.380
1691331300000,1825.80,1830.01,1825.02,1829.63,19173.460
1691332200000,1829.62,1830.56,1827.76,1827.91,6697.085
1691333100000,1827.92,1829.51,1827.30,1829.01,9184.833
1691334000000,1829.01,1830.00,1829.00,1829.68,5037.920
1691334900000,1829.68,1830.19,1828.78,1828.93,5155.398
1691335800000,1828.92,1829.89,1828.20,1828.21,5498.301
1691336700000,1828.20,1828.70,1827.53,1828.41,5515.793
1691337600000,1828.40,1828.83,1827.66,1828.83,10057.487
1691338500000,1828.82,1829.20,1827.98,1829.20,5396.931
1691339400000,1829.19,1832.81,1829.01,1832.01,17659.102
1691340300000,1832.01,1835.67,1832.00,1835.23,27676.664
